metric,tau,gamma,seed,n_clusters,silhouette,ics_score,stability,hierarchical_score,genus,material,external_ARI_broad,external_NMI_broad,external_ARI_fine,external_NMI_fine,external_ARI_who,external_NMI_who
jaccard,0.1,0.5,100,14,0.28465626471444105,4.177754605573919,0.7680676404862858,0.432898874574938,Escherichia,Blood Culture,0.20810607695341274,0.5219303774873868,0.06657483930211203,0.5749462498817737,0.03486870426173052,0.15447087125337486
jaccard,0.1,0.5,101,14,0.2903953426747114,4.031589049081156,0.7680676404862858,0.45051480338873207,Escherichia,Blood Culture,0.24329776977248038,0.5426799975804901,0.06884158333564167,0.5834233147866724,0.06538925091414213,0.18113826066638689
jaccard,0.1,0.5,102,16,0.2680040894837346,4.098759907590057,0.7680676404862858,0.4651736859470319,Escherichia,Blood Culture,0.2239351972824667,0.5373487668690108,0.06245736375350565,0.5977124342328363,0.08200939350622831,0.21628027397731375
jaccard,0.1,0.5,103,14,0.2610071767064684,3.9875344493891873,0.7680676404862858,0.4385014723353138,Escherichia,Blood Culture,0.2214808756034397,0.522449650762663,0.059108507489915474,0.5740868837795491,0.05073616379134549,0.17377274531565082
jaccard,0.1,0.5,104,7,0.17800050751060012,2.8718483774967623,0.7680676404862858,0.33795597756355666,Escherichia,Blood Culture,0.15875483520831668,0.39779593616789954,0.05752973777514249,0.4518731894100806,0.07022519261852113,0.12622640316384864
jaccard,0.1,0.5,105,15,0.19165714988328458,4.117473562732113,0.7680676404862858,0.43759684478786215,Escherichia,Blood Culture,0.14682647779896485,0.5075917572642475,0.04211725147784587,0.5741865771336216,0.058534886341518384,0.1854822891837975
jaccard,0.1,0.5,106,17,0.28240956122611355,4.565326901465579,0.7680676404862858,0.4665285215237014,Escherichia,Blood Culture,0.18515087246472242,0.5389064064749225,0.07263593261373953,0.6136953670222618,0.05741873588000454,0.19792817590773296
jaccard,0.1,0.5,107,16,0.22413040499238523,4.024471084209127,0.7680676404862858,0.4577630209477117,Escherichia,Blood Culture,0.2227208339586315,0.5282896764083365,0.056546320004124205,0.5872827411275344,0.08081096807783007,0.21454340524732338
jaccard,0.1,0.5,108,18,0.24422413318184163,4.615444939005858,0.7680676404862858,0.46818803744029724,Escherichia,Blood Culture,0.19877772618680142,0.5387927022846705,0.0501877744643916,0.6145197526536399,0.04429488506937254,0.2024744189781338
jaccard,0.1,0.5,109,8,0.17919114070238693,2.9805832128209957,0.7680676404862858,0.3452350673881985,Escherichia,Blood Culture,0.19172257775285972,0.41173336908412567,0.04926501667214578,0.45547116341949245,0.06569756465924108,0.1317553043172128
jaccard,0.1,0.75,100,7,0.19954129405275675,2.9533498673835106,0.8041067403246726,0.33120485447581993,Escherichia,Blood Culture,0.14593723658330993,0.39710270363315076,0.044671022556504916,0.4377888903828142,0.0637999183584066,0.12319495744249681
jaccard,0.1,0.75,101,7,0.21259985684656635,2.9306132377668948,0.8041067403246726,0.3222995286760567,Escherichia,Blood Culture,0.15403371496337018,0.3821601462954928,0.040992625541378905,0.42752180928621925,0.058602134435492725,0.12214253690973725
jaccard,0.1,0.75,102,12,0.2705558317863117,3.933919799777369,0.8041067403246726,0.4192404489425262,Escherichia,Blood Culture,0.2299018089738218,0.5059284542088781,0.05993346007604563,0.549198189561543,0.05854633728402114,0.15927545618415187
jaccard,0.1,0.75,103,12,0.2705558317863117,3.933919799777369,0.8041067403246726,0.4192404489425261,Escherichia,Blood Culture,0.2299018089738218,0.505928454208878,0.05993346007604563,0.549198189561543,0.05854633728402114,0.15927545618415187
jaccard,0.1,0.75,104,12,0.2705558317863117,3.933919799777369,0.8041067403246726,0.41924044894252627,Escherichia,Blood Culture,0.2299018089738218,0.5059284542088781,0.05993346007604563,0.549198189561543,0.05854633728402114,0.1592754561841519
jaccard,0.1,0.75,105,13,0.26090157413262777,4.0798451555708715,0.8041067403246726,0.4255910556788373,Escherichia,Blood Culture,0.16781461073586917,0.5082516356623384,0.06384398476010074,0.5604893001109064,0.04404718024327313,0.16306614978591083
jaccard,0.1,0.75,106,7,0.21259985684656635,2.9306132377668948,0.8041067403246726,0.3222995286760567,Escherichia,Blood Culture,0.15403371496337018,0.3821601462954928,0.040992625541378905,0.42752180928621925,0.058602134435492725,0.12214253690973725
jaccard,0.1,0.75,107,7,0.21909351313317663,2.9040927854933276,0.8041067403246726,0.3179615997366747,Escherichia,Blood Culture,0.1285540585898687,0.3751603570374656,0.0424167629450688,0.42911099203369346,0.040526768050198836,0.1125636527065255
jaccard,0.1,0.75,108,7,0.22628348502164589,2.8536277797633494,0.8041067403246726,0.3197171363212794,Escherichia,Blood Culture,0.10749662765280182,0.36934159489496626,0.04328422453608955,0.43005976195610957,0.05466305445311953,0.12296917690115221
jaccard,0.1,0.75,109,8,0.22682506782897513,3.4649204715450495,0.8041067403246726,0.34843324109941676,Escherichia,Blood Culture,0.1854352864835593,0.40280507762864615,0.050077104131158186,0.4665845989637788,0.0684636608956672,0.13652626075103802
jaccard,0.1,1.0,100,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,101,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.3560441399959793,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155349
jaccard,0.1,1.0,102,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,103,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,104,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,105,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,106,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,107,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,108,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.1,1.0,109,7,0.25248873130860383,2.564381361554625,1.0,0.29967492017765174,Escherichia,Blood Culture,0.06906416380444476,0.35604413999597934,0.01608334308790823,0.40043607586847974,0.02142422155001148,0.10895749277155352
jaccard,0.2,0.5,100,19,0.3205886257786363,4.818542590639121,0.8347866175511535,0.4819911406333127,Escherichia,Blood Culture,0.18868143337585527,0.548903911610391,0.06587457200550174,0.6377061365125005,0.036182068167016426,0.2074583751506506
jaccard,0.2,0.5,101,18,0.3051129339570005,4.33216348575618,0.8347866175511535,0.489105829258277,Escherichia,Blood Culture,0.2512166911727172,0.567677223328325,0.07432094037237803,0.6290254312265392,0.06693470635295083,0.22397496589721275
jaccard,0.2,0.5,102,18,0.31078930797963183,4.5303516652723586,0.8347866175511535,0.479139582166708,Escherichia,Blood Culture,0.21547141481318582,0.5477391888401401,0.05979655639027577,0.622357164895816,0.052718252742954774,0.21958319852113184
jaccard,0.2,0.5,103,18,0.304237879779664,4.528123053911071,0.8347866175511535,0.4821417426442555,Escherichia,Blood Culture,0.21547141481318582,0.5477391888401401,0.07841444636274555,0.6298625660896849,0.052718252742954774,0.2195831985211318
jaccard,0.2,0.5,104,14,0.27806703366684005,3.662077610862843,0.8347866175511535,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291178,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.5,105,21,-0.12198005246150129,4.400972632180322,0.8347866175511535,0.49106530048111285,Escherichia,Blood Culture,0.1861061927501712,0.5456404214608567,0.06640444820905912,0.6352541479191207,0.0923942263948054,0.2442383829173586
jaccard,0.2,0.5,106,20,0.3128001469647397,4.983127463218254,0.8347866175511535,0.48358615706601693,Escherichia,Blood Culture,0.15348191050149687,0.5339837718719046,0.06073528830486664,0.637259310202108,0.05000984853982438,0.2282910047453413
jaccard,0.2,0.5,107,21,-0.04906812321243731,4.77110825958716,0.8347866175511535,0.5013557573250624,Escherichia,Blood Culture,0.1812725265469502,0.5660035866316276,0.06653848339616208,0.6515268727874306,0.06414073071718539,0.23647977406867304
jaccard,0.2,0.5,108,20,0.25213971369070387,4.77684847688048,0.8347866175511535,0.49010260893748775,Escherichia,Blood Culture,0.2012522618261194,0.5522674543955189,0.05424409844299347,0.6361693442109692,0.0512214342001576,0.23318211644814796
jaccard,0.2,0.5,109,19,0.2573048338671092,4.350024691445476,0.8347866175511535,0.4997016910810438,Escherichia,Blood Culture,0.25754454732716037,0.5847356945136035,0.07679217187832377,0.6414704347482376,0.06475521747610688,0.22564269609222568
jaccard,0.2,0.75,100,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,101,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,102,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,103,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,104,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,105,18,0.3168857546999037,4.711126344932559,0.9609260389355085,0.47909538468252844,Escherichia,Blood Culture,0.18119498984427895,0.5284181584300606,0.08897749998973352,0.6397378185566742,0.03994423503898384,0.21558269910280206
jaccard,0.2,0.75,106,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,107,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,108,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,0.75,109,14,0.27806703366684005,3.662077610862843,0.9609260389355085,0.4224283479469091,Escherichia,Blood Culture,0.16337027445679803,0.4706293443291179,0.05758530405131383,0.55037458133833,0.044060387332892796,0.2036323737094726
jaccard,0.2,1.0,100,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,101,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,102,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,103,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,104,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,105,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,106,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,107,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,108,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.2,1.0,109,15,0.3149610763733648,4.2809347204420405,1.0,0.4303044359493958,Escherichia,Blood Culture,0.08397838599968582,0.47330084088007424,0.04871626338543942,0.5685619670179949,0.04028120451331179,0.20296465626058535
jaccard,0.30000000000000004,0.5,100,20,0.2994091998524951,4.518761369904351,0.8847748503367815,0.49238029756636803,Escherichia,Blood Culture,0.21421807907315887,0.55320969164819,0.07947320262460213,0.6425218133742273,0.052386639759482725,0.23136221574073362
jaccard,0.30000000000000004,0.5,101,22,0.2498284053987324,4.759504117345961,0.8847748503367815,0.4953355807215344,Escherichia,Blood Culture,0.1823570880910602,0.5460720540424724,0.07808922226608764,0.648121284515336,0.0640094247005694,0.24088483567552763
jaccard,0.30000000000000004,0.5,102,22,0.2951509199096,4.984073838549609,0.8847748503367815,0.4934713455381872,Escherichia,Blood Culture,0.1520860581464781,0.539430773543503,0.06181962829550728,0.6495197543103644,0.04967488359069555,0.23944737250330198
jaccard,0.30000000000000004,0.5,103,22,0.29090148885026024,4.97557846980142,0.8847748503367815,0.4963677009811508,Escherichia,Blood Culture,0.1520860581464781,0.539430773543503,0.08298159156703719,0.6567606429177733,0.04967488359069555,0.23944737250330195
jaccard,0.30000000000000004,0.5,104,20,0.3052357948624625,4.684746652407024,0.8847748503367815,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.2345012339070588
jaccard,0.30000000000000004,0.5,105,20,0.2994091998524951,4.518761369904351,0.8847748503367815,0.49238029756636803,Escherichia,Blood Culture,0.21421807907315887,0.55320969164819,0.07947320262460213,0.6425218133742273,0.052386639759482725,0.23136221574073362
jaccard,0.30000000000000004,0.5,106,20,0.2994091998524951,4.518761369904351,0.8847748503367815,0.49238029756636803,Escherichia,Blood Culture,0.21421807907315887,0.55320969164819,0.07947320262460213,0.6425218133742274,0.052386639759482725,0.23136221574073365
jaccard,0.30000000000000004,0.5,107,26,-0.050831166454409285,5.455980398017551,0.8847748503367815,0.5185076074318706,Escherichia,Blood Culture,0.12197285112463353,0.5577648217468479,0.06602439407649835,0.6753030402812296,0.06494064395804738,0.2701898159844147
jaccard,0.30000000000000004,0.5,108,23,0.29949884739820787,5.382254182163054,0.8847748503367815,0.5047680639401251,Escherichia,Blood Culture,0.14469256034476943,0.5517217681368444,0.05449758221727132,0.658763310811146,0.04848193677086488,0.2524873639153779
jaccard,0.30000000000000004,0.5,109,20,0.2994091998524951,4.518761369904351,0.8847748503367815,0.49238029756636803,Escherichia,Blood Culture,0.21421807907315887,0.5532096916481901,0.07947320262460213,0.6425218133742273,0.052386639759482725,0.23136221574073362
jaccard,0.30000000000000004,0.75,100,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.2345012339070588
jaccard,0.30000000000000004,0.75,101,21,0.3071366686509899,4.9400229529979285,0.9904512133833205,0.48988290986714905,Escherichia,Blood Culture,0.1522425954986471,0.5372485627579041,0.08116035935064708,0.6468842652633338,0.04879868985675491,0.2331821164481479
jaccard,0.30000000000000004,0.75,102,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374774,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048192,0.06312875704930901,0.2345012339070588
jaccard,0.30000000000000004,0.75,103,20,0.3052357948624625,4.684746652407024,0.9904512133833205,0.4887450795374775,Escherichia,Blood Culture,0.182437678462575,0.5439170068114404,0.07641932188869485,0.6380490183048193,0.06312875704930901,0.23450123390705885
