;;Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.)
;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2019;Saarland;24549;24580;31180;40106;25275;18524;52043;58375;59692;57430;52824;57911;80413;87404;78606;115540;122435;986887;12604;12634;16111;20752;13150;9691;27461;30497;31013;29459;26156;28532;39847;43274;38937;55461;48840;484419;11945;11946;15069;19354;12125;8833;24582;27878;28679;27971;26668;29379;40566;44130;39669;60079;73595;502468
31.12.2019;Berlin;116834;112940;134465;155306;86329;62069;202015;280135;333561;292312;238403;220620;262286;262524;204167;325994;379531;3669491;60089;57757;69124;79903;44474;31754;100796;139336;168782;149498;121754;112295;133265;131876;100287;149350;153933;1804273;56745;55183;65341;75403;41855;30315;101219;140799;164779;142814;116649;108325;129021;130648;103880;176644;225598;1865218
31.12.2019;Brandenburg;62959;69028;91336;111074;63721;41216;90100;92191;154505;162012;151014;153836;207593;239654;204044;287580;340030;2521893;32308;35506;46928;57135;33007;21707;48784;48093;78723;82865;77597;78865;104826;120730;101788;137485;137584;1243931;30651;33522;44408;53939;30714;19509;41316;44098;75782;79147;73417;74971;102767;118924;102256;150095;202446;1277962
31.12.2019;Mecklenburg-Vorpommern;39337;42154;56054;68037;39498;27239;62919;66259;105569;102967;92538;91071;122946;149680;135500;193626;212744;1608138;20130;21450;28724;34704;20423;14256;33038;34649;54839;53766;49156;47581;62310;74962;66667;92570;83387;792612;19207;20704;27330;33333;19075;12983;29881;31610;50730;49201;43382;43490;60636;74718;68833;101056;129357;815526
31.12.2019;Sachsen;107915;114446;147470;174251;99033;68899;170921;186260;275202;266581;240201;239402;290404;323230;290194;482927;594635;4071971;55232;58749;75815;89489;50628;36012;89487;98103;144443;140606;127174;127069;149614;162179;141630;225048;235444;2006722;52683;55697;71655;84762;48405;32887;81434;88157;130759;125975;113027;112333;140790;161051;148564;257879;359191;2065249
31.12.2019;Sachsen-Anhalt;52535;55881;72995;89369;51645;36226;87400;91359;135827;133661;119176;131907;172131;196242;176583;276055;315790;2194782;26921;28774;37399;46047;26921;19326;46897;48631;71433;70707;63185;69034;87888;98197;86148;129026;123328;1079862;25614;27107;35596;43322;24724;16900;40503;42728;64394;62954;55991;62873;84243;98045;90435;147029;192462;1114920
31.12.2019;Th�ringen;52515;56942;74517;88342;52149;35660;86062;89030;134367;135724;120785;130176;160832;185821;170921;266520;293015;2133378;26791;29259;38248;45480;26889;18651;45895;47215;70786;71943;63994;68916;82075;92921;84150;126312;116471;1055996;25724;27683;36269;42862;25260;17009;40167;41815;63581;63781;56791;61260;78757;92900;86771;140208;176544;1077382
31.12.2020;Schleswig-Holstein;76019;79780;102486;132155;81993;57940;157846;158929;172510;168049;169066;177579;245884;248247;202486;321816;358090;2910875;38927;40915;52411;67998;42162;29874;82828;82817;88764;83365;82803;87300;121825;122463;98481;152502;150214;1425649;37092;38865;50075;64157;39831;28066;75018;76112;83746;84684;86263;90279;124059;125784;104005;169314;207876;1485226
31.12.2020;Hamburg;59735;58290;68352;80222;46892;32927;112162;143196;158049;141149;127935;117904;137321;129874;101838;154668;181964;1852478;30701;29811;34992;41589;24343;16709;56648;70773;79067;70156;63811;59238;69654;64849;49615;71383;73594;906933;29034;28479;33360;38633;22549;16218;55514;72423;78982;70993;64124;58666;67667;65025;52223;83285;108370;945545
31.12.2020;Niedersachsen;224984;229184;287435;365726;230158;165248;456260;468499;495150;468284;458948;485939;649844;667222;562872;871355;916313;8003421;115459;117419;147680;188432;118206;85566;240328;246446;256858;235754;228064;241067;324486;332999;277270;417482;377940;3951456;109525;111765;139755;177294;111952;79682;215932;222053;238292;232530;230884;244872;325358;334223;285602;453873;538373;4051965
